1	1	2	4	3	5	6	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	4	3	10	9	2	1	12	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	11	12	10	9	13	14	16	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	14	13	6	5	16	15	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	17	18	20	19	21	22	15	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	9	10	24	23	15	16	19	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	25	26	9	10	27	28	23	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	28	27	25	26	18	17	21	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	29	16	7	30	31	32	34	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	35	21	16	29	36	37	32	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	38	39	41	40	42	25	10	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	40	41	45	44	43	10	3	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	41	47	48	45	10	9	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	39	49	47	41	25	26	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	21	22	15	16	37	50	51	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	16	15	8	7	32	51	52	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
